SYMBOL,DESCRIPTION,IBKR-SYMBOL,CURRENCY,PRODUCT,REGION,EXCHANGE
"HRAA","GLO X RESO ADAP ALLO CORP ET","HRAA","CAD","ETF","CA","TSE*"
"HRAA.OLD","HORIZONS RESOLVE ADAPT ASSET","HRAA.OLD","null","ETF","CA","TSE*"
"HRED","BETAPRO EQ WGHT CAN REIT -2X","HRED","CAD","ETF","CA","TSE*"
"HREU","BETAPRO EQ WGT CAN REIT 2X","HREU","CAD","ETF","CA","TSE*"
"HRIF","HRVST DIVRSFD EQTY INCM ETF","HRIF","CAD","ETF","CA","TSE*"
"HSAV","GLB X CASH MAX CORP CLS ETF","HSAV","CAD","ETF","CA","TSE*"
"HSAV.OLD","HORIZONS CASH MAXIMIZER ETF","HSAV.OLD","null","ETF","CA","TSE*"
"HSD","BETAPRO S&amp;P 500-2X DLY BEAR","HSD","CAD","ETF","CA","TSE*"
"HSH","GLB X S&amp;P 500 CAD HD IDX ETF","HSH","CAD","ETF","CA","TSE*"
"HSH.OLD","HORIZONS S&amp;P 500 CAD H I ETF","HSH.OLD","null","ETF","CA","TSE*"
"HSU","BETAPRO S&amp;P 500 2X DAILY B","HSU","CAD","ETF","CA","TSE*"
"HSUV.U","GLB X USD CASH MXMZ CORP ETF","HSUV.U","USD","ETF","CA","TSE*"
"HSUV.U.O","HORIZONS USD CASH MAXIMIZER","HSUV.U.OLD","null","ETF","CA","TSE*"
"HTA","HARVEST TECH ACHIEVERS GROWT","HTA","CAD","ETF","CA","TSE*"
"HTA.B","HARVEST TECH ACHIEVERS GROWT","HTA.B","CAD","ETF","CA","TSE*"
"HTA.U","HARVEST TECH ACHIEVERS GROWT","HTA.U","USD","ETF","CA","TSE*"
"HTAE","HARVEST TECH ACH ENH INC ETF","HTAE","CAD","ETF","CA","TSE*"
"HTB","GLO X US 7-10YR TRES IND COR","HTB","CAD","ETF","CA","TSE*"
"HTB.OLD","HORIZONS US 7-10 YEAR TREASU","HTB.OLD","null","ETF","CA","TSE*"
"HUBL","HARVEST US BANK LEADERS IN-A","HUBL","CAD","ETF","CA","TSE*"
